generation	G	population	popgen	indiv	plantheight	biomass	no_of_nodes	no_of_flowers	day_to_flower	seed_cap	seedmass	Latitude
second	2	6	second6	164	126.00	16.50	7.00	204.00	99.00	8.89	7.44	63.47
second	2	6	second6	165	97.50	16.10	7.00	274.00	86.00	6.60	8.28	63.47
second	2	6	second6	166	122.00	11.40	6.00	215.00	79.00	8.43	10.54	63.47
second	2	6	second6	167	205.50	20.20	7.00	133.00	93.00	6.80	9.17	63.47
second	2	6	second6	168	92.00	7.40	5.00	217.00	72.00	5.56	10.03	63.47
second	2	6	second6	169	179.00	11.10	8.00	130.00	95.00	8.90	9.98	63.47
second	2	6	second6	170	114.50	12.60	7.00	227.00	86.00	6.70	9.75	63.47
second	2	6	second6	171	135.00	8.80	7.00	110.00	93.00	3.33	12.92	63.47
second	2	6	second6	172	144.50	10.40	6.00	93.00	86.00	3.00	8.43	63.47
second	2	6	second6	173	79.00	7.90	6.00	213.00	71.00	5.80	12.92	63.47
second	2	6	second6	174	117.50	18.20	9.00	136.00	94.00	1.67	11.22	63.47
second	2	6	second6	175	111.00	8.70	7.00	161.00	87.00	8.00	11.29	63.47
second	2	6	second6	176	109.30	8.10	6.00	103.00	87.00	6.88	11.16	63.47
second	2	6	second6	177	176.50	11.00	6.00	151.00	87.00	6.17	10.01	63.47
second	2	6	second6	178	198.50	14.90	8.00	117.00	107.00	8.33	10.04	63.47
second	2	6	second6	179	166.00	13.60	7.00	148.00	86.00	3.33	11.16	63.47
second	2	6	second6	180	150.50	13.20	8.00	110.00	102.00	6.75	9.11	63.47
